"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"105"	1544.8606875	1571.9374375	1632.6514375	1684.747375	1704.1183125	1610.2179375	1453.0538125	1906.362375	1655.0594375	1507.827375	1632.6514375	1632.6514375	1637.1125625	1769.858625	1632.6514375	1769.858625
"106"	8088.41675	7979.2158125	7028.0494375	7150.454625	8088.41675	7729.2143125	7614.37325	7080.7543125	7198.6705625	7614.37325	7433.873375	7661.645375	8042.0515	7843.2245625	7843.2245625	7226.7319375
"107"	94.994163125	96.888	108.0757625	100.031224375	99.048840625	101.370341875	85.70842625	97.0583975	114.2500075	107.895176875	99.1664475	82.71740875	92.78605875	78.349690625	109.886931875	132.09293125
"108"	6013.335	6263.88775	5197.981125	6645.4884375	4097.16725	4976.282625	5301.47725	6497.0531875	8790.1549375	5174.6090625	6971.071625	5470.7185625	5968.788	8423.827625	7433.873375	4620.7429375
"109"	203.6782375	187.32281875	210.82884375	194.7282125	221.64945625	201.84211875	210.82884375	194.04874375	188.945	209.66378125	211.85399375	208.9577875	202.50403125	204.448525	173.3957375	232.1652625
"110"	1734.494625	1359.28981875	1519.5769375	1183.11788125	1593.4043125	1473.5649375	1317.17108125	1271.5394	1205.431925	1764.9110625	1045.7654	1473.5649375	1690.522125	1030.12965	1216.0190625	1930.9149375
"111"	539.59364375	532.025575	532.025575	636.17226875	578.311125	512.55769375	579.56581875	544.77420625	538.51038125	494.33515	606.1588125	454.52866875	601.18103125	598.0468625	607.50890625	482.9323125
"112"	4157.5558125	4024.4406875	4009.0979375	5197.981125	4855.5949375	4229.005	4341.0161875	4855.5949375	5685.4160625	4712.122625	4812.626	3978.49975	4593.6923125	5233.689125	5419.5634375	4467.3564375
"113"	374.52108125	367.990325	415.909525	375.2119	411.37489375	436.71815625	418.880375	345.62870625	331.7215375	379.29858125	408.13461875	375.8839	407.5472	353.63673125	387.87693125	401.3315125
"114"	1127.77195	1020.28456875	1038.21535625	1217.9185625	832.3930125	1066.59191875	1111.519625	1279.42508125	1175.35749375	960.4240625	1342.54178125	958.4091	1053.74255	974.67876875	1094.8918	862.5058875
"115"	145.22503125	135.72860625	137.3106625	125.87471875	145.05518125	144.398125	129.74475	135.8038	146.06980625	155.86368125	146.06980625	131.8763375	151.35309375	134.62704375	151.35309375	122.96768
"116"	1020.28456875	872.51879375	1090.973375	1213.21278125	1150.76445625	1014.80436875	1016.44149375	1293.2516	924.06129375	1050.1631	932.1527625	901.638175	700.9554375	932.1527625	1003.4169125	1089.24598125
"117"	149.0791375	141.2141125	146.33685625	147.32520625	177.8334125	175.4481875	148.70446875	163.98535	179.75143125	148.1979875	158.02850625	163.85115625	172.08846875	137.099725	146.16160625	147.77635
"118"	564.30568125	747.36828125	524.0634875	675.520275	460.295675	614.80950625	669.0922625	702.48079375	692.7964875	468.70576875	776.489725	641.3584875	660.97710625	735.03175625	633.4114	495.1530375
"119"	2905.02625	3240.8290625	2859.111	2687.070875	2275.86225	2654.5846875	2974.0406875	2729.5900625	2729.5900625	3055.688875	3371.690625	2592.168125	2945.3661875	2762.177	2737.7	2729.5900625
"120"	7843.2245625	8423.827625	8308.068	7370.49475	9316.4949375	8352.5449375	8550.7426875	7529.33075	7979.2158125	8914.5569375	7792.679625	8088.41675	8352.5449375	7792.679625	8042.0515	8042.0515
"121"	671.12965	706.28544375	756.57296875	699.5371375	704.78665	509.67204375	599.61059375	849.42820625	783.3039125	618.392625	499.059675	673.97680625	634.80944375	588.55575625	735.03175625	773.98195
"122"	273.16239375	232.1652625	243.67639375	219.3358125	263.04369375	224.98385	236.532625	228.18658125	200.69331875	258.03184375	238.61383125	242.25315625	239.43008125	234.98815625	215.8895125	236.7090375
"123"	606.1588125	561.730825	555.37335625	501.23079375	506.4096375	602.6982	544.77420625	466.0537875	482.191475	499.059675	543.45410625	494.33515	567.60138125	465.46449375	503.21096875	496.62605
"124"	139.36575	153.1525375	154.48195625	111.1754525	124.771225	136.0404875	148.1979875	125.1810875	129.85695	112.78632375	135.19500625	127.322	133.837825	110.682538125	130.82501875	122.171338125
"125"	1365.24315	1231.5098375	1380.83918125	1349.1387375	1038.21535625	1281.90871875	1224.70711875	1467.4090625	1275.942675	1122.9529	1257.99315	1205.431925	1143.6339875	1321.504525	1196.250075	1154.6791125
"126"	580.7050125	427.99033125	469.9068875	691.1542125	412.836525	515.0439	441.8526	534.86644375	556.5378125	430.8253625	497.6289	502.44759375	453.8130875	457.33564375	587.78065	606.1588125
"127"	136.0404875	122.171338125	119.061308125	125.94836875	117.735094375	102.71849	137.099725	106.32891	93.031471875	93.47222625	96.888	129.53263125	91.950074375	107.11531375	108.6279225	116.950134375
"128"	11292.8495	10255.5879375	10061.847375	9108.765	8914.5569375	10635.2651875	11444.448125	9610.337	9699.6695625	10386.120375	10146.736375	12236.25525	10635.2651875	10386.120375	9801.23675	10535.5781875
"129"	811.27196875	865.562	736.10881875	801.25855	527.0854375	786.9979125	776.489725	798.90384375	852.95118125	656.13559375	930.4155375	963.7305125	758.73001875	935.71836875	739.00495625	758.73001875
"130"	966.95776875	720.26415	765.47441875	805.4291125	933.8877	775.71781875	830.84425	822.84111875	939.5820125	791.11079375	871.08604375	837.931675	1076.51441875	1074.97226875	867.6335875	740.0297625
"131"	1821.9491875	1918.7170625	1891.7969375	1915.8289375	1550.0055	1793.0275	1643.48725	1872.1761875	1797.508375	1699.6980625	1918.7170625	1862.15625	1593.4043125	1835.7518125	1764.9110625	1595.9431875
"132"	156.7269625	171.0735875	174.60439375	167.74570625	178.3341875	167.8674	189.664025	169.022275	157.38825625	192.112575	159.46793125	199.66670625	151.52859375	160.99754375	166.15521875	177.18116875
